Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
2,HouseOfChikankari,8,175,02-Jan-23,10-Mar-23,11-Jan-23,Investment with Intent,Rahul Dua,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,https://www.houseofchikankari.in/,2020.0,2,,2.0,Middle,Delhi,Delhi,,,,,,,,,75.0,1.0,7500.0,1,1,75.0,3.75,,,2000.0,2,,,,,,,,,,,37.5,1.875,,37.5,1.875,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Paradyes,9,177,02-Jan-23,10-Mar-23,12-Jan-23,Invest In Lifestyle,Rahul Dua,Beauty/Fashion,Semi Permanent Hair Color,https://www.birdsofparadyes.com/,2020.0,2,1.0,1.0,Young,Ahmedabad,Gujarat,350.0,,,,,,,,65.0,1.0,6500.0,1,1,65.0,2.0,,,3250.0,2,,,,,32.5,1.0,,,,,32.5,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Nestroots,9,178,02-Jan-23,10-Mar-23,12-Jan-23,Invest In Lifestyle,Rahul Dua,Lifestyle/Home,"House of design, aesthetics and elegance",https://www.nestroots.com/,,1,,1.0,Middle,Delhi,Delhi,,,,,,,,,50.0,1.0,5000.0,1,1,50.0,2.0,,,2500.0,1,,50.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Primebook,11,183,02-Jan-23,10-Mar-23,16-Jan-23,Investing The Right Way,Rahul Dua,Technology/Software,Android Apps on Windows laptops,https://www.primebook.in/,,4,4.0,,Middle,Delhi,Delhi,,,,,,,,,75.0,1.5,5000.0,1,1,75.0,3.0,,,2500.0,2,,,,,,,,,,,37.5,1.5,,37.5,1.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Janitri,12,186,02-Jan-23,10-Mar-23,17-Jan-23,Pitchers Ki Undying Spirit,Rahul Dua,Medical/Health,Pregnancy Monitoring systems,https://www.janitri.in/,2021.0,1,1.0,,Middle,Alwar,Rajasthan,,,,,,,,,100.0,2.5,4000.0,1,1,100.0,2.5,,,4000.0,1,,100.0,2.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,Sepal,16,198,02-Jan-23,10-Mar-23,23-Jan-23,Pitchers Ki Taiyyari,Rahul Dua,Manufacturing,Bike Accessories,https://sepal.in/,,2,2.0,,Middle,Hyderabad,Telangana,,,37.0,,,,,,50.0,1.0,5000.0,1,1,50.0,2.0,,,2500.0,1,,,,,,,,,,,,,,50.0,2.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,Solinas,16,199,02-Jan-23,10-Mar-23,23-Jan-23,Pitchers Ki Taiyyari,Rahul Dua,Business Services,"Products organise the management of pipelines,manholes and septic tanks",https://solinas.in/,2020.0,4,3.0,1.0,Middle,Chennai,Tamil Nadu,120.0,,,,,,,,90.0,2.0,4500.0,1,1,90.0,3.0,,,3000.0,2,,,,,,,,45.0,1.5,,,,,45.0,1.5,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,NeoMotion,18,204,02-Jan-23,10-Mar-23,25-Jan-23,Business Ideas With Potential,Rahul Dua,Manufacturing,Wheelchairs,https://www.neomotion.in/,2020.0,3,3.0,,Middle,Chennai,Tamil Nadu,470.0,,,,,,,,100.0,1.0,10000.0,1,1,100.0,1.0,,,10000.0,1,,,,,,,,,,,,,,100.0,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,
2,Bullspree,19,209,02-Jan-23,10-Mar-23,26-Jan-23,Building Brands For India,Rahul Dua,Technology/Software,App to learn stock market basics,https://bullspree.com/,2020.0,3,3.0,,Middle,Ahmedabad,Gujarat,,,,,yes,,,,75.0,1.5,5000.0,1,1,75.0,2.86,,,2622.377622,2,,,,,,,,,,,37.5,1.43,,37.5,1.43,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Snitch,20,210,02-Jan-23,10-Mar-23,27-Jan-23,Nurturing Indian Entrepreneurs,Rahul Dua,Beauty/Fashion,Menswear,https://www.snitch.co.in/,2020.0,1,1.0,,Middle,Bangalore,Karnataka,,,,,,,,,150.0,0.5,30000.0,1,1,150.0,1.5,,,10000.0,5,,30.0,0.3,,30.0,0.3,,30.0,0.3,,30.0,0.3,,30.0,0.3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Portl,20,211,02-Jan-23,10-Mar-23,27-Jan-23,Nurturing Indian Entrepreneurs,Rahul Dua,Business Services,Portl studio gym,https://portl.co/,2021.0,3,3.0,,Middle,Hyderabad,Telangana,,,45.0,,,,,,150.0,1.0,15000.0,1,1,150.0,2.5,,,6000.0,3,,50.0,0.833,,,,,,,,50.0,0.833,,50.0,0.833,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Broomees,22,217,02-Jan-23,10-Mar-23,31-Jan-23,Making Big Businesses,Rahul Dua,Business Services,Helpers homemakers for your home,https://broomees.com/,2020.0,3,2.0,1.0,Middle,Delhi,Delhi,,,,,,,,,80.0,2.0,4000.0,1,1,100.0,3.0,,,3333.333333,3,,33.33,1.0,,,,,,,,33.33,1.0,,33.33,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,PadCare,23,220,02-Jan-23,10-Mar-23,01-Feb-23,Changing The World,Rahul Dua,Manufacturing,Menstrual hygiene disposal solution,https://www.padcarelabs.com/,2018.0,1,1.0,,Young,Pune,Maharashtra,,14.0,,,yes,,,,50.0,2.0,2500.0,1,1,100.0,4.0,,,2500.0,4,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,25.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,UnStop,26,231,02-Jan-23,10-Mar-23,06-Feb-23,Bharat Badal Raha Hai,Rahul Dua,Technology/Software,Connecting talent colleges recruiters,https://unstop.com/,2022.0,1,1.0,,Middle,Delhi,Delhi,1600.0,,90.0,,,,,,100.0,1.0,10000.0,1,1,200.0,4.0,,,5000.0,4,,50.0,1.0,,,,,50.0,1.0,,50.0,1.0,,,,,50.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,1.0,
2,Zoff,28,237,02-Jan-23,10-Mar-23,08-Feb-23,Game Changers,Rahul Dua,Food and Beverage,Cool Grind Technology Indian Spices,https://zofffoods.com/,2018.0,2,2.0,,Middle,Raipur,Chhattisgarh,,700.0,,,,,,,100.0,0.5,20000.0,1,1,100.0,1.25,,,8000.0,1,,,,,,,,,,,100.0,1.25,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,
2,MindPeers,29,241,02-Jan-23,10-Mar-23,09-Feb-23,Pulse Of The Country,Rahul Dua,Medical/Health,For Mental Strength,https://www.mindpeers.co/,2020.0,2,1.0,1.0,Middle,Delhi,Delhi,,,,,,,,,53.0,1.0,5300.0,1,1,106.0,2.0,,,5300.0,4,,17.66,0.33,,17.66,0.33,,,,,17.66,0.33,,53.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
2,Daryaganj,30,243,02-Jan-23,10-Mar-23,10-Feb-23,Changing India,Rahul Dua,Food and Beverage,North Indian Cuisine restaurant,https://daryaganj.com/,2019.0,3,3.0,,Middle,Delhi,Delhi,,300.0,,,,,,,90.0,0.5,18000.0,1,1,90.0,1.0,,,9000.0,1,yes,,,,,,,,,,90.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,
